time,x ref,y ref,theta ref,v ref,omega ref
1.6665,4.50762,0.231985,0.350251,1.44801,3.25709,
1.67155,4.51427,0.234548,0.367997,1.41051,3.51412,
1.6766,4.52069,0.237165,0.387126,1.37259,3.78777,
1.68165,4.52695,0.239869,0.40794,1.34959,4.12168,
1.6867,4.53296,0.24263,0.430298,1.31098,4.42734,
1.69175,4.5388,0.245485,0.454508,1.28756,4.79408,
1.6968,4.54439,0.248397,0.480295,1.24826,5.10632,
1.70185,4.54973,0.251364,0.507556,1.20852,5.39821,
1.7069,4.55487,0.254421,0.536493,1.18441,5.73002,
1.71195,4.55974,0.257521,0.566483,1.14395,5.93873,
1.717,4.56435,0.260653,0.597141,1.10304,6.07083,
1.72205,4.56876,0.263855,0.628473,1.07822,6.20433,
1.7271,4.57289,0.267062,0.6595,1.03657,6.14401,
1.73215,4.57677,0.270257,0.689664,0.994454,5.97301,
1.7372,4.58045,0.27348,0.718955,0.9689,5.8002,
1.74225,4.58388,0.276655,0.746396,0.926024,5.43383,
1.7473,4.58708,0.279763,0.771628,0.882667,4.99656,
1.75235,4.59011,0.28285,0.794898,0.856361,4.60782,
1.7574,4.59292,0.285837,0.815585,0.812222,4.09649,
1.76245,4.59552,0.288707,0.833659,0.767588,3.57902,
1.7675,4.59793,0.291446,0.849198,0.722453,3.07689,
1.77255,4.60016,0.294041,0.862343,0.676811,2.6031,
1.7776,4.60226,0.296554,0.873604,0.649119,2.2298,
1.78265,4.60419,0.298905,0.882806,0.602654,1.82232,
1.7877,4.60596,0.301086,0.890178,0.555668,1.45968,
1.79275,4.60756,0.30309,0.895952,0.508154,1.14338,
1.7978,4.60901,0.304911,0.900359,0.460107,0.872769,
1.80285,4.61029,0.306543,0.903622,0.411521,0.646078,
1.8079,4.61142,0.307983,0.905949,0.362389,0.460776,
1.81295,4.61246,0.309307,0.907634,0.33258,0.333652,
1.818,4.61333,0.310432,0.90871,0.282562,0.213089,
1.82305,4.61405,0.311357,0.909339,0.231984,0.124461,
1.8281,4.61461,0.312078,0.909661,0.180837,0.0638314,
1.83315,4.61501,0.312592,0.909794,0.129117,0.0264347,
1.8382,4.61525,0.312899,0.90983,0.0768159,0.0071317,
1.84325,4.61536,0.313036,0.909834,0.0345056,0.000628615,
1.8483,4.61547,0.313174,0.909837,0.0345056,0.000628615,
