Time,LeftRate,RightRate,EstX,EstY,EstTheta,GoalX,GoalY,GoalTheta,LeftVolt,RightVolt,LeftVelRef,RightVelRef,EstLeftVel,EstRightVel
4.371,2.03023,2.13833,0.647787,-0.00811965,-0.0135669,0.835888,0.0123504,0.0212434,12,12,3.735,3.90905,2.10485,2.08393
4.376,2.11952,1.82252,0.658363,-0.00826536,-0.0137769,0.849976,0.0126517,0.0213845,12,12,3.76791,3.94463,2.10236,2.16008
4.381,2.13733,2.07344,0.669125,-0.00840144,-0.0126447,0.864116,0.0129562,0.0215255,12,12,3.80275,3.97712,2.15529,1.99681
4.386,2.35988,2.17284,0.679608,-0.00853143,-0.0123984,0.878309,0.0132637,0.0216662,12,12,3.83746,4.01277,2.18663,2.08765
4.391,2.02484,1.94319,0.690399,-0.00867316,-0.0131331,0.892553,0.0135744,0.0218069,12,12,3.8685,4.04848,2.33431,2.18311
4.396,2.01504,1.88402,0.701805,-0.00882161,-0.0130144,0.906847,0.0138881,0.0219473,12,12,3.89802,4.07945,2.186,2.07899
4.401,1.96572,1.90044,0.712573,-0.00895272,-0.0121757,0.92119,0.014205,0.0220878,12,12,3.93284,4.11296,2.12351,2.0033
4.406,2.08193,1.86256,0.722993,-0.0090822,-0.0124257,0.935581,0.0145249,0.0222281,12,12,3.96745,4.15042,2.06972,1.98442
4.411,1.9708,2.09719,0.733228,-0.00922023,-0.0134841,0.950019,0.0148479,0.0223684,12,12,4.00148,4.19047,2.11999,1.95435
4.416,2.16155,2.13235,0.743515,-0.00935716,-0.0133104,0.964503,0.015174,0.0225087,12,12,4.03806,4.22832,2.0718,2.08567
4.421,2.04109,2.06783,0.754012,-0.00948332,-0.0120183,0.979033,0.0155032,0.0226491,12,12,4.07606,4.26322,2.16979,2.15732
4.426,2.10297,0.378799,0.764937,-0.00961823,-0.0123478,0.993607,0.0158354,0.0227894,12,12,4.10817,4.29854,2.13357,2.14507
4.431,2.0576,0.189298,0.77574,-0.00976166,-0.0132772,1.00823,0.0161706,0.0229299,12,12,4.13976,4.33574,2.15458,1.11165
4.436,2.00621,0.189298,0.783986,-0.00986593,-0.0126424,1.02289,0.0165089,0.0230705,12,12,4.18982,4.38526,2.13422,0.603346
4.442,2.35745,0.189298,0.790898,-0.00993836,-0.010479,1.03759,0.0168502,0.0232112,12,12,4.25136,4.44011,2.09499,0.410044
4.446,2.11854,0.0117063,0.797223,-0.0100044,-0.0104403,1.05233,0.0171946,0.023352,12,12,4.31181,4.50229,2.29396,0.337161
4.451,2.2431,2.66327,0.803866,-0.0100787,-0.0111776,1.06712,0.017542,0.023493,12,12,4.36889,4.56425,2.22372,0.200942
4.456,2.51548,2.46138,0.809988,-0.0101424,-0.0104117,1.08194,0.0178924,0.0236343,12,12,4.43272,4.62689,2.27743,1.76454
4.462,2.4121,2.41975,0.820194,-0.0102352,-0.00909165,1.0968,0.0182458,0.0237757,12,12,4.47409,4.66475,2.46398,2.23637
4.466,2.85422,2.36965,0.832062,-0.0103567,-0.0102381,1.1117,0.0186023,0.0239174,12,12,4.50005,4.69731,2.47203,2.39024
4.472,2.5807,2.30174,0.844338,-0.0104922,-0.0110411,1.12664,0.0189617,0.0240593,12,12,4.52443,4.72693,2.74437,2.41897
4.477,2.35139,2.33938,0.857375,-0.0106235,-0.0100662,1.14161,0.0193242,0.0242016,12,12,4.54856,4.74897,2.68116,2.38816
4.482,2.35745,2.19893,0.870174,-0.0107373,-0.00889075,1.15663,0.0196897,0.0243442,12,12,4.57465,4.77209,2.51751,2.39895
